Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Televisa Univision via SpringServe,Mexico,los heroes del norte,574400,tt1750695,tvSeries,"Comedy,Music,Romance",A,,Not Available,serie,imdb,los heroes del norte,,
iion Pty Ltd,Peru,the sandman: season 2 - official date announcement teaser trailer,562080,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,Not Available,serie,titulo,the sandman,2,
iion Pty Ltd,Colombia,ria rabbit episode 24 : romi's broken airplane,514800,tt20778280,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,ria rabbit,,24
PML Digital,Colombia,dread the unsolved,487520,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
TCL ADs (APAC),Peru,día cero,466880,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
iion Pty Ltd,Argentina,bbc news,458400,tt0240256,tvSeries,News,B,,Not Available,serie,imdb,bbc news,,
TCL ADS - Springserve,Mexico,dread the unsolved,457840,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
TCL ADs (APAC),Mexico,bbc%20news,456160,tt0240256,tvSeries,News,B,,Not Available,serie,imdb,bbc%20news,,
iion Pty Ltd,Mexico,sobreviví,451200,tt0492429,tvSeries,"Biography,Documentary,Drama",B,,Not Available,serie,imdb,sobreviví,,
Vidaa,Mexico,al diablo con los guapos,434080,tt1132292,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,al diablo con los guapos,,
TCL ADS - Springserve,Argentina,wanted,422400,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
PML Digital,Argentina,día cero,419200,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
OTTera.tv,Colombia,locked in hellsend,416640,,,,,,Not Available,serie,intra_titulo,Locked in Hellsend,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amores verdaderos,408000,tt2320524,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,amores verdaderos,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,40 y 20,406240,tt5711512,tvSeries,Comedy,A,,Not Available,serie,imdb,40 y 20,,
AWG Media,Mexico,pacman,397600,tt0083461,tvSeries,"Action,Adventure,Animation",C,,Not Available,serie,intra_titulo,pacman,,
iion Pty Ltd,Mexico,lily's lovely song season 1,395840,,,,,,Not Available,serie,titulo,lily's lovely song,1,
Televisa Univision via SpringServe,Mexico,me declaro culpable,394880,tt7314888,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,me declaro culpable,,
iion Pty Ltd,Mexico,forest frenzy of boonie bears season 3,393920,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,3,
iion Pty Ltd,Argentina,getter robo: armageddon,389520,tt0346226,tvSeries,"Animation,Horror,Sci-Fi",A,,Not Available,serie,imdb,getter robo: armageddon,,
Select Plus PTE LTD (CTV),Chile,something scary season 1,372800,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,1,
Vidaa,Honduras,la gata,370960,tt3596316,tvSeries,"Action,Drama,Family",B,telenovela,Not Available,serie,imdb,la gata,,
TCL ADS - Springserve,Mexico,chai chai season 1,364320,tt6443382,tvSeries,Animation,C,,Not Available,serie,titulo,chai chai,1,
PML Digital,Argentina,uma & devan namaste season 1,346240,tt11730496,tvSeries,Animation,C,,Not Available,serie,titulo,uma & devan namaste,1,
Aluna Limited,Argentina,darwin and newts  season 1,338880,tt8713700,tvSeries,Animation,A,,Not Available,serie,titulo,darwin and newts,1,
Select Plus PTE LTD (CTV),Argentina,bbc news,337760,tt0240256,tvSeries,News,B,,Not Available,serie,imdb,bbc news,,
TCL ADs (APAC),Peru,dread the unsolved,327360,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
Televisa Univision via SpringServe,Mexico,un camino hacia el destino,322720,tt5345792,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,un camino hacia el destino,,
Televisa Univision via SpringServe,Mexico,la mujer del vendaval,317600,tt2468400,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,la mujer del vendaval,,
Vidaa,Mexico,el hotel de los secretos,310880,tt5345934,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,el hotel de los secretos,,
iion Pty Ltd,Mexico,the alpha's daughter,309600,tt29605719,tvMiniSeries,"Adventure,Drama,Fantasy",A,,Not Available,serie,imdb,the alpha's daughter,,
OTTera.tv,Argentina,haus of horror,305520,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
OTTera.tv,Argentina,holiday eatz,300000,tt27374512,tvSeries,Reality-TV,A,,Not Available,serie,imdb,holiday eatz,,
"VGI CTV, Inc APAC",Mexico,maria de todos los angeles,291600,tt1487513,tvSeries,Comedy,A,,Not Available,serie,imdb,maria de todos los angeles,,
Select Plus PTE LTD (CTV),Chile,forest frenzy of boonie bears season 4,282080,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Argentina,just us,280800,tt0305713,tvSeries,Family,B,,Not Available,serie,imdb,just us,,
OTTera.tv,Argentina,something scary season 1,277440,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,1,
iion Pty Ltd,Mexico,real stories with christ - season three,276320,,,,,,Not Available,serie,titulo,real stories with christ,,
OTTera.tv,Peru,wanted,275840,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
TCL ADs (APAC),Mexico,chicken stew season 2,275520,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
OTTera.tv,Dominican Republic,cashpoint,271680,tt5949660,tvSeries,Comedy,B,,Not Available,serie,imdb,cashpoint,,
"VGI CTV, Inc APAC",Mexico,maria de todos los angeles,270720,tt1487513,tvSeries,Comedy,A,,Not Available,serie,imdb,maria de todos los angeles,,
Televisa Univision via SpringServe,Mexico,al diablo con los guapos,270320,tt1132292,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,al diablo con los guapos,,
iion Pty Ltd,Colombia,minituns - en season 2,269600,,,,,,Not Available,serie,titulo,minituns - en,2,
Kivi via Springserve,Mexico,andor: season 2 - official stealing the tie fighter clip,263120,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
iion Pty Ltd,Colombia,babies in car city season 1,260800,tt7826976,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,babies in car city,1,
TCL ADS - Springserve,Argentina,chronic horror,259200,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
TCL ADS - Springserve,Mexico,increditales season 2,253760,tt28074621,tvSeries,,C,,Not Available,serie,titulo,increditales,2,
TCL ADs (APAC),Mexico,saari season 1,252320,tt0080934,movie,"Action,Adventure,Drama",D,,Not Available,serie,titulo,saari,1,
iion Pty Ltd,Argentina,vitaminix season 1,250720,tt6469326,tvSeries,"Animation,Documentary,Family",C,,Not Available,serie,titulo,vitaminix,1,
TCL ADs (APAC),Mexico,chicken stew season 4,248320,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,4,
OTTera.tv,Chile,container masters,248160,tt10257240,tvSeries,Reality-TV,A,,Not Available,serie,imdb,container masters,,
Vidaa  APAC Hisense Headquarter,Mexico,codigo postal,245360,tt0813681,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,codigo postal,,
PML Digital,Argentina,supermix,245280,tt0181266,tvSeries,"Action,Adventure,Animation",A,"comedia,fantasia,infantil-familia",Not Available,serie,imdb,supermix,,
TCL ADs (APAC),Mexico,uma & devan namaste season 1,244320,tt11730496,tvSeries,Animation,C,,Not Available,serie,titulo,uma & devan namaste,1,
iion Pty Ltd,Argentina,lola & virginia  season 1,242240,tt1166121,tvSeries,"Animation,Family",A,comedia,Not Available,serie,titulo,lola & virginia,1,
OTTera.tv,Mexico,starhyke,241120,tt1520150,tvSeries,"Comedy,Sci-Fi",A,,Not Available,serie,imdb,starhyke,,
Vidaa,Mexico,nina amada mia,235680,tt0368528,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,nina amada mia,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,todas las flores,231360,tt22309050,tvSeries,"Crime,Drama",B,telenovela,Not Available,serie,imdb,todas las flores,,
Televisa Univision via SpringServe,Mexico,lazos de amor,230640,tt0210426,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,lazos de amor,,
TCL ADs (APAC),Colombia,sunny bunnies episode 2,225600,tt7264084,tvSeries,"Adventure,Animation,Comedy",A,,Not Available,serie,titulo,sunny bunnies,,2
OTTera.tv,Chile,haus of horror,212000,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
Televisa Univision via SpringServe,Argentina,un refugio para el amor,210960,tt2186523,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,un refugio para el amor,,
OTTera.tv,Mexico,uma & devan namaste season 1,204160,tt11730496,tvSeries,Animation,C,,Not Available,serie,titulo,uma & devan namaste,1,
TCL ADs (APAC),Argentina,x-men: evolution season 2,201280,tt0247827,tvSeries,"Action,Adventure,Animation",A,comedia,Not Available,serie,titulo,x-men: evolution,2,
TCL ADs (APAC),Ecuador,the sandman: season 2 - official date announcement teaser trailer,200960,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,Not Available,serie,titulo,the sandman,2,
OTTera.tv,Colombia,the baddest bad boy,198000,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
OTTera.tv,Peru,something scary season 2,197440,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,2,
OTTera.tv,Argentina,un caso para dos s04,197280,tt0081860,tvSeries,"Crime,Thriller",B,,Not Available,serie,imdb,un caso para dos,4,
OTTera.tv,Argentina,chicken stew season 1,197120,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,1,
Select Plus PTE LTD (CTV),Argentina,haus of horror,194560,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
TCL ADS - Springserve,Mexico,forest frenzy of boonie bears season 3,190080,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,3,
TCL ADS - Springserve,Chile,forest frenzy of boonie bears season 3,186080,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,3,
TCL ADS - Springserve,Mexico,chicken stew season 2,184960,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
OTTera.tv,Argentina,digital lizards of doom: lava or licorice season 1,184640,,,,,,Not Available,serie,titulo,digital lizards of doom: lava or licorice,1,
TCL ADs (APAC),Colombia,kelsi davies: season 1,181760,,,,,,Not Available,serie,titulo,kelsi davies,1,
OTTera.tv,Dominican Republic,jerico,178720,tt0805663,tvSeries,"Action,Drama,Mystery",B,,Not Available,serie,imdb,jerico,,
Vidaa,Argentina,cabo,177840,tt21239248,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,cabo,,
Select Plus PTE LTD (CTV),Argentina,andor: season 2 - official 'win' teaser trailer,177600,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
iion Pty Ltd,Argentina,animacars season 2,177440,tt10051414,tvSeries,Animation,C,,Not Available,serie,titulo,animacars,2,
iion Pty Ltd,Argentina,captain tsubasa temporada 1,174720,tt0294023,tvSeries,"Animation,Comedy,Drama",B,,Not Available,serie,titulo,captain tsubasa,1,
iion Pty Ltd,Argentina,chicken stew season 2,173760,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
OTTera.tv,Argentina,st. urbain's horseman,172800,tt0830165,tvMiniSeries,Drama,A,,Not Available,serie,imdb,st. urbain's horseman,,
TCL ADS - Springserve,Mexico,chicken stew season 2,171040,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
OTTera.tv,Dominican Republic,the 808,170720,tt1090816,tvSeries,Reality-TV,A,,Not Available,serie,imdb,the 808,,
Vidaa,Mexico,canaveral de pasiones,170000,tt0211788,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,canaveral de pasiones,,
iion Pty Ltd,Colombia,solitaireclassic,169280,,,,,,Not Available,serie,intra_titulo,solitaireclassic,,
OTTera.tv,Dominican Republic,melody,166400,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
Select Plus PTE LTD (CTV),Mexico,future chicken - music videos season 1,163680,,,,,,Not Available,serie,titulo,future chicken - music videos,1,
OTTera.tv,Ecuador,melody,162880,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la rosa de guadalupe,161360,tt1192302,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,la rosa de guadalupe,,
METAX SOFTWARE PTE. LTD. (Exchange),Ecuador,animacars season 2,160080,tt10051414,tvSeries,Animation,C,,Not Available,serie,titulo,animacars,2,
iion Pty Ltd,Chile,prime crime,159600,tt28256211,tvSeries,"Documentary,News",B,,Not Available,serie,imdb,prime crime,,
iion Pty Ltd,Argentina,real stories with christ - season three,157760,,,,,,Not Available,serie,titulo,real stories with christ,,
Select Plus PTE LTD (CTV),El Salvador,the adventures of danny & the dingo,157120,tt1302810,tvSeries,Sport,A,,Not Available,serie,imdb,the adventures of danny & the dingo,,
Televisa Univision via SpringServe,Argentina,teresa,155040,tt1705090,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,teresa,,
iion Pty Ltd,Mexico,grudge%20talk,155040,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge%20talk,,
TCL ADs (APAC),Chile,chicken stew season 6,154400,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,6,
OTTera.tv,Costa Rica,smighties season 1,154240,tt10310656,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,smighties,1,
Vidaa,Mexico,amorcito corazon,153600,tt2046305,tvSeries,"Comedy,Drama,Romance",B,telenovela,Not Available,serie,imdb,amorcito corazon,,
OTTera.tv,Mexico,stingray%20naturescape,151040,,,,,,Not Available,serie,intra_titulo,WDBJ News,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,vivan los ninos,150960,tt0331806,tvSeries,"Drama,Family",B,telenovela,Not Available,serie,imdb,vivan los ninos,,
Televisa Univision via SpringServe,Argentina,de que te quiero te quiero,149520,tt2983896,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,de que te quiero te quiero,,
iion Pty Ltd,Argentina,chicken stew season 2,148320,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
iion Pty Ltd,Chile,three rabbits season 1,148000,tt4505176,short,"Short,Western",C,,Not Available,serie,titulo,three rabbits,1,
OTTera.tv,Peru,rob the ranger: season 2,147840,,,,,,Not Available,serie,titulo,rob the ranger,2,
AWG Media,Argentina,grandes parejas,147040,,,,,,Not Available,serie,intra_titulo,Curro Jiménez,,
Aluna Limited,Argentina,corazon apasionado,146880,tt2110634,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,corazon apasionado,,
iion Pty Ltd,Colombia,babies in car city season 1,144960,tt7826976,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,babies in car city,1,
Televisa Univision via SpringServe,Honduras,la rosa de guadalupe,142560,tt1192302,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,la rosa de guadalupe,,
TCL ADS - Springserve,Argentina,road grill,141360,tt2055338,tvSeries,Reality-TV,A,,Not Available,serie,imdb,road grill,,
iion Pty Ltd,Argentina,naruto temporada 6,138000,tt0409591,tvSeries,"Action,Adventure,Animation",B,,Not Available,serie,titulo,naruto,6,
TCL ADs (APAC),Argentina,breathe,137760,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
OTTera.tv,Argentina,saari season 1,137760,tt0080934,movie,"Action,Adventure,Drama",D,,Not Available,serie,titulo,saari,1,
TCL ADS - Springserve,Chile,um%20anjo%20na%20terra,136960,tt0086730,tvSeries,"Drama,Fantasy",B,,Not Available,serie,imdb,um%20anjo%20na%20terra,,
TCL ADs (APAC),Peru,día cero,134720,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
iion Pty Ltd,Mexico,bubba's world,133600,tt1572209,tvSeries,Reality-TV,B,,Not Available,serie,imdb,bubba's world,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,la fea mas bella,133040,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,la fea mas bella,,
TCL ADs (APAC),Argentina,un caso para dos s03,132240,tt0081860,tvSeries,"Crime,Thriller",B,,Not Available,serie,imdb,un caso para dos,3,
iion Pty Ltd,Mexico,yoyo season 1,129600,tt0059934,movie,"Comedy,Drama,Family",B,,Not Available,serie,titulo,yoyo,1,
iion Pty Ltd,Mexico,chai chai season 1,128960,tt6443382,tvSeries,Animation,C,,Not Available,serie,titulo,chai chai,1,
Televisa Univision via SpringServe,Guatemala,que bonito amor,128880,tt2394172,tvSeries,"Drama,Music,Romance",B,telenovela,Not Available,serie,imdb,que bonito amor,,
iion Pty Ltd,Chile,something scary season 2,126560,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,2,
iion Pty Ltd,Argentina,continuum: trailer,126240,tt1954347,tvSeries,"Action,Sci-Fi,Thriller",B,drama,Not Available,serie,imdb,continuum,,
Televisa Univision via SpringServe,Guatemala,pasion y poder,126240,tt5060922,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,pasion y poder,,
Vidaa  APAC Hisense Headquarter,Guatemala,grandes parejas,125920,,,,,,Not Available,serie,intra_titulo,Curro Jiménez,,
TCL ADS - Springserve,Mexico,pikmin 3 deluxe season 1,124640,,,,,,Not Available,serie,titulo,pikmin 3 deluxe,1,
