Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre_relleno,gen_declarados,gen_detalle,gen_propuesta
Vidaa,Mexico,no soy un asesino,79120,tt8271188,movie,"Crime,Thriller",A,,Western,western,western!=crimen-misterio,crimen
TCL ADS - Springserve,Argentina,merry birthday. happy christmas,78480,tt28480262,movie,Family,A,,Romance,romance,romance!=infantil-familia,infantil-familia
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,código de honra,76320,tt4060866,movie,"Action,Crime,Thriller",B,drama,biography,documental,"documental!=accion-aventura,crimen-misterio,drama","accion,crimen,drama"
Televisa Univision via SpringServe,Mexico,pequenos gigantes,76080,tt1945875,tvSeries,"Family,Music,Reality-TV",B,,news,noticias,"noticias!=infantil-familia,musica,reality","infantil-familia,musica,reality"
TCL ADS - Springserve,Argentina,dutch season 2,75840,tt0101786,movie,"Comedy,Drama",B,,Action,accion,"accion-aventura!=comedia,drama","comedia,drama"
TCL ADS - Springserve,Argentina,never give up,74880,tt19636694,movie,"Family,Sport",B,,Drama,drama,"drama!=deportes,infantil-familia","infantil-familia,deportes"
Kivi via Springserve,Mexico,show champion,74560,tt36593654,tvSeries,Music,A,,Talk Show,talk show,talk show!=musica,musica
TCL ADS - Springserve,Argentina,life & me,74400,tt29594199,movie,"Comedy,Drama",A,,Documentary,documental,"documental!=comedia,drama","comedia,drama"
Canela Media via Springserve,Mexico,simón dice,73760,tt8777518,tvSeries,Comedy,B,,Horror,terror,terror!=comedia,comedia
Select Plus PTE LTD (CTV),Mexico,vampirina: teenage vampire,73440,tt34385400,tvSeries,"Adventure,Comedy,Family",A,,music,musica,"musica!=accion-aventura,comedia,infantil-familia","aventura,comedia,infantil-familia"
Select Plus PTE LTD (CTV),Mexico,electric bloom,73280,tt32252675,tvSeries,"Comedy,Drama,Family",A,,music,musica,"musica!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
Canela Media via Springserve,Mexico,mi vecina la buchona,71600,tt43661046,movie,Action,A,,Drama,drama,drama!=accion-aventura,accion
TCL ADS - Springserve,Argentina,in the sea of grace,71520,tt33256421,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
AWG Media,Mexico,un largo y doloroso camino,70000,tt0437447,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fuerza del destino,69840,tt0118055,movie,"Drama,Romance",B,,news,noticias,"noticias!=drama,romance","drama,romance"
TCL ADS - Springserve,Argentina,clara's ultimate christmas,68640,tt6646106,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,jajaja,68400,tt1452626,movie,"Comedy,Drama,Romance",A,,news,noticias,"noticias!=comedia,drama,romance","comedia,drama,romance"
Televisa Univision via SpringServe,Mexico,40 y 20,64560,tt5711512,tvSeries,Comedy,A,,news,noticias,noticias!=comedia,comedia
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,north hollywood,64480,tt11165716,movie,"Comedy,Drama,Sport",B,,aventura,aventura,"accion-aventura!=comedia,deportes,drama","comedia,drama,deportes"
Select Plus PTE LTD (CTV),Argentina,al filo del mañana,64320,tt1631867,movie,"Action,Adventure,Sci-Fi",A,,drama,drama,"drama!=accion-aventura,sci-fi","accion,sci-fi"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,splat!,63360,tt0327940,movie,Action,B,,family,infantil-familia,infantil-familia!=accion-aventura,accion
TCL ADS - Springserve,Argentina,just us,62400,tt0305713,tvSeries,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,divorce: a journey through the kids' eyes trailer,61920,tt2547332,movie,Documentary,A,,"infotainment,education,family,kids",educacion;infantil-familia,infantil-familia!=documental,"educacion,documental"
Select Plus PTE LTD (CTV),Argentina,like dandelion dust,61600,tt0981042,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Connekt Media (oRTB CTV),Mexico,sade,60480,tt0023369,movie,Drama,B,,acción,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the motherload,60320,tt40935136,movie,"Comedy,Drama,History",B,,war,belico,"accion-aventura!=comedia,documental,drama","comedia,drama,documental"
Select Plus PTE LTD (CTV),Mexico,my dog tulip,60160,tt0843358,movie,"Animation,Drama",A,,comedy,comedia,"comedia!=animacion,drama","animacion,drama"
Select Plus PTE LTD (CTV),Argentina,off screen,59520,tt0414200,movie,"Crime,Drama,Thriller",B,,fantasy,fantasia,"fantasia!=crimen-misterio,drama","crimen,drama"
Select Plus PTE LTD (CTV),Argentina,every time i die,59040,tt20751668,movie,Documentary,B,,drama,drama,drama!=documental,documental
Select Plus PTE LTD (CTV),Argentina,strange nature,58880,tt3113836,movie,"Drama,Horror,Mystery",A,,fantasy,fantasia,"fantasia!=crimen-misterio,drama,terror","drama,terror,misterio"
TCL ADs (APAC),Argentina,goombay kids season 2,58800,tt12551800,tvSeries,Family,A,,adventure,aventura,accion-aventura!=infantil-familia,infantil-familia
Select Plus PTE LTD (CTV),Argentina,partida,58560,tt29929273,movie,Drama,B,,kids,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Mexico,the incredible mrs. ritchie,58400,tt0296682,tvMovie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the confidant,58240,tt1449394,movie,Thriller,B,,comedy,comedia,comedia!=crimen-misterio,thriller
Select Plus PTE LTD (CTV),Mexico,snake woman,57440,tt2350778,video,Horror,B,,fantasy,fantasia,fantasia!=terror,terror
TCL ADS - Springserve,Argentina,a husband for christmas,55920,tt6111830,tvMovie,"Comedy,Drama,Romance",B,,Adventure,aventura,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,judas,55680,tt9537450,tvSeries,"Biography,Crime,Drama",B,,Sci-Fi,sci-fi,"sci-fi!=crimen-misterio,documental,drama","documental,crimen,drama"
Aluna Limited,Argentina,take out girl,55680,tt10816000,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fea mas bella,55680,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,news,noticias,"noticias!=comedia,drama,romance,telenovela","comedia,drama,romance,telenovela"
Select Plus PTE LTD (CTV),Mexico,teddy show,55520,tt38682799,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Mexico,there's a stranger in my house,55360,tt1308046,movie,Musical,A,,comedy,comedia,comedia!=musica,musica
Connekt Media (oRTB CTV),Mexico,scarface renacido,55200,tt2028545,video,Action,A,,romance,romance,romance!=accion-aventura,accion
TCL ADS - Springserve,Argentina,grapes on a vine,54960,tt1094297,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Mexico,the joan of arc case,54720,tt30507681,tvMovie,"Animation,Biography,Documentary",A,,war,belico,"accion-aventura!=animacion,documental","animacion,documental"
Televisa Univision via SpringServe,Mexico,una familia de diez,54240,tt0996011,tvSeries,"Comedy,Family,Romance",A,,news,noticias,"noticias!=comedia,infantil-familia,romance","comedia,infantil-familia,romance"
Televisa Univision via SpringServe,Mexico,amor bravio,54000,tt2266983,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Televisa Univision via SpringServe,Mexico,como dice el dicho,50400,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,news,noticias,"noticias!=comedia,drama,telenovela","comedia,drama,telenovela"
Televisa Univision via SpringServe,Mexico,esta historia me suena,50160,tt10540362,tvSeries,Drama,A,,news,noticias,noticias!=drama,drama
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,triunfo del amor,49760,tt1743281,tvSeries,"Drama,Romance,Thriller",A,telenovela,news,noticias,"noticias!=crimen-misterio,drama,romance,telenovela","drama,romance,thriller,telenovela"
Televisa Univision via SpringServe,Mexico,una familia con suerte,48240,tt1853455,tvSeries,"Comedy,Drama,Family",A,telenovela,news,noticias,"noticias!=comedia,drama,infantil-familia,telenovela","comedia,drama,infantil-familia,telenovela"
OTTera.tv,Argentina,lola and virginia-ep01-onion trick,48240,tt1166121,tvSeries,"Animation,Family",A,comedia,"films&tvshows,tv series,drama,romance,youth",pelicula (generico);drama;romance,"drama!=animacion,comedia,infantil-familia","pelicula (generico),romance,animacion,infantil-familia,comedia"
OTTera.tv,Colombia,mustard pancakes episode 5 : a suitcase for mr. d,48000,tt0433725,tvSeries,Family,A,,"films&tvshows,tv series,adventure,fantasy,animation/cartoon",pelicula (generico);aventura;fantasia;animacion,accion-aventura!=infantil-familia,"pelicula (generico),fantasia,animacion,infantil-familia"
Connekt Media (oRTB CTV),Mexico,tempestad,47520,tt3800560,movie,Documentary,B,,acción,accion,accion-aventura!=documental,documental
Televisa Univision via SpringServe,Mexico,la que no podia amar,47280,tt2012381,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,el gran robo,44000,tt1935194,movie,"Action,Adventure,Crime",B,,comedy,comedia,"comedia!=accion-aventura,crimen-misterio","accion,crimen"
OTTera.tv,Argentina,calais children: a case to answer,42480,tt7710476,movie,Documentary,A,,"reality tv,kids",reality;infantil-familia,infantil-familia!=documental,"reality,documental"
TCL ADS - Springserve,Argentina,children of isis,41520,tt5585972,tvMovie,Documentary,A,,"reality tv,kids",reality;infantil-familia,infantil-familia!=documental,"reality,documental"
OTTera.tv,Argentina,darwin and newts ep10-nocturnal animals,40800,tt8713700,tvSeries,Animation,A,,"nature,kids education,tv series,adventure",documental;aventura,documental!=animacion;accion-aventura!=animacion,animacion
OTTera.tv,Argentina,swami ayyappan,38880,tt2335908,movie,"Action,Adventure,Animation",B,,"faith & family,entertainment,religion,biography,feature film",religion;infantil-familia;entretenimiento;documental,"documental!=accion-aventura,animacion","religion,infantil-familia,entretenimiento,accion,animacion"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,monkey business,37600,tt0022158,movie,"Comedy,Family,Musical",B,,aventura,aventura,"accion-aventura!=comedia,infantil-familia,musica","comedia,infantil-familia,musica"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amor sin condición,35200,tt6173488,tvMovie,"Drama,Mystery,Romance",A,,family,infantil-familia,"infantil-familia!=crimen-misterio,drama,romance","drama,misterio,romance"
OTTera.tv,Argentina,freefonix-ep02-love stinks,35040,tt0943642,tvSeries,"Animation,Family,Music",A,,"films&tvshows,tv series,entertainment,romance",pelicula (generico);entretenimiento;romance,"romance!=animacion,infantil-familia,musica","pelicula (generico),entretenimiento,animacion,infantil-familia,musica"
EXTE - Rich Audience (oRTB),Mexico,entre piernas,32480,tt2913398,video,Drama,B,,comedy,comedia,comedia!=drama,drama
TCL ADS - Springserve,Argentina,nosey,31920,tt7945374,short,"Comedy,Short,Thriller",B,,"reality tv,music",reality;musica,"reality!=comedia,crimen-misterio;musica!=comedia,crimen-misterio","comedia,thriller"
