Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre,gen_declarados,gen_detalle,gen_propuesta
OTTera.tv,Mexico,walk a mile in my pradas,2122240,tt1645187,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,the golden voices,2111520,tt8920490,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
iion Pty Ltd,Colombia,juug gone wrong: trailer,2076160,tt9063470,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
AWG Media,Mexico,el vestido de novia,1803200,tt0237890,movie,"Drama,Romance",A,,Action,accion,"accion-aventura!=drama,romance","drama,romance"
AWG Media,Mexico,el ingeniero,1512560,tt2241147,movie,Documentary,B,,Action,accion,accion-aventura!=documental,documental
Televisa Univision via SpringServe,Mexico,la rosa de guadalupe,1091760,tt1192302,tvSeries,Drama,A,telenovela,News,noticias,"noticias!=drama,telenovela","drama,telenovela"
OTTera.tv,Mexico,yoyo season 1,1046880,tt0059934,movie,"Comedy,Drama,Family",B,,Adventure,aventura,"accion-aventura!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
OTTera.tv,Mexico,bugsted season 1,1029920,tt3228062,tvMiniSeries,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
Televisa Univision via SpringServe,Mexico,rubi,825760,tt2418558,movie,"Adventure,Drama,Family",B,"crimen-misterio,fantasia,romance,sci-fi,terror",News,noticias,"noticias!=accion-aventura,crimen-misterio,drama,fantasia,infantil-familia,romance,sci-fi,terror","aventura,drama,infantil-familia,crimen-misterio,fantasia"
OTTera.tv,Mexico,white wedding,774080,tt0097995,movie,"Drama,Romance",B,,Action,accion,"accion-aventura!=drama,romance","drama,romance"
OTTera.tv,Colombia,monster,712320,tt0468492,movie,"Drama,Horror,Sci-Fi",B,comedia,Anime,anime,"animacion!=comedia,drama,sci-fi,terror","drama,terror,sci-fi,comedia"
iion Pty Ltd,Mexico,animals,705280,tt1298530,movie,"Drama,Fantasy",B,,Nature,documental,"documental!=drama,fantasia","drama,fantasia"
OTTera.tv,Mexico,underdog,551360,tt9493708,movie,"Action,Drama,Sport",B,,"documentary,documentary,horror,thriller,crime",documental;terror;thriller;crimen,"terror!=accion-aventura,deportes,drama","documental,thriller,crimen,accion,drama"
Vidaa,Mexico,hit list,533600,tt6844424,movie,Drama,B,,music,musica,musica!=drama,drama
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,vecinos,512320,tt0011508,short,"Comedy,Romance,Short",B,,News,noticias,"noticias!=comedia,romance","comedia,romance"
FUNKE Digital GmbH | Publica,Mexico,lucha por la libertad,491520,tt1124037,movie,"Action,Biography,Drama",B,,Horror,terror,"terror!=accion-aventura,documental,drama","accion,documental,drama"
TCL ADS - Springserve,Argentina,missing pieces,453600,tt1843987,short,"Comedy,Drama,Family",B,,Adventure,aventura,"accion-aventura!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
Televisa Univision via SpringServe,Mexico,amor real,441920,tt0341281,tvSeries,"Drama,Romance",B,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
iion Pty Ltd,Mexico,epic trails: s1. epic trails,401920,tt11169770,tvSeries,Adventure,A,,Nature,documental,documental!=accion-aventura,aventura
iion Pty Ltd,Mexico,the rvers: s1. the rvers,400640,tt9145184,tvSeries,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,despierta,376000,tt4248126,short,"Horror,Short,Thriller",B,,News,noticias,"noticias!=crimen-misterio,terror","terror,thriller"
Televisa Univision via SpringServe,Mexico,historias de ultratumba,371040,tt5516328,movie,"Drama,Horror,Mystery",B,,Reality,reality,"reality!=crimen-misterio,drama,terror","drama,terror,misterio"
OTTera.tv,Argentina,bienvenida,352800,tt15085184,video,"Animation,Music,Short",B,,Thriller,thriller,"crimen-misterio!=animacion,musica","animacion,musica"
AWG Media,Mexico,rancho esperanza,352400,tt5244812,movie,Family,A,,Western,western,western!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,lo que la vida me robo,338880,tt3223004,tvSeries,"Drama,Romance",A,telenovela,News,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Sparteo CTV (Publica),Mexico,vix,325680,tt29704967,movie,"Action,Drama,Horror",B,,News,noticias,"noticias!=accion-aventura,drama,terror","accion,drama,terror"
TCL ADS - Springserve,Argentina,8 лучших свиданий,291360,tt5338588,movie,Comedy,A,,Biography,documental,documental!=comedia,comedia
PML Digital,Argentina,un asesino en casa,287360,tt0481285,tvMovie,"Crime,Mystery,Thriller",A,,Documentary,documental,documental!=crimen-misterio,crimen
OTTera.tv,Argentina,el asesino fantasma,275040,tt0036531,movie,"Crime,Drama,Film-Noir",A,,Documentary,documental,"documental!=crimen-misterio,drama","crimen,drama"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,the reunion,268720,tt1792543,movie,"Action,Drama",B,,Comedy,comedia,"comedia!=accion-aventura,drama","accion,drama"
TCL ADS - Springserve,Mexico,tom's car wash season 1,243840,tt8464328,tvSeries,"Animation,Family",A,,adventure,aventura,"accion-aventura!=animacion,infantil-familia","animacion,infantil-familia"
TCL ADS - Springserve,Argentina,dangerous pursuit part 2,240720,tt0109647,tvMovie,"Crime,Thriller",B,,Documentary,documental,documental!=crimen-misterio,crimen
TCL ADS - Springserve,Argentina,flight from justice part 2,227520,tt0030122,movie,"Crime,Drama,Romance",B,,Documentary,documental,"documental!=crimen-misterio,drama,romance","crimen,drama,romance"
Canela Media via Springserve,Mexico,el comienzo,225760,tt0425889,short,"Documentary,Short",B,,Action,accion,accion-aventura!=documental,documental
Televisa Univision via SpringServe,Mexico,rebelde,222000,tt14153686,tvSeries,"Comedy,Drama,Music",B,infantil-familia,news,noticias,"noticias!=comedia,drama,infantil-familia,musica","comedia,drama,musica,infantil-familia"
PML Digital,Argentina,mandíbulas letales,221440,tt4416518,movie,Horror,A,accion-aventura,Documentary,documental,"documental!=accion-aventura,terror","terror,accion-aventura"
TCL ADS - Springserve,Argentina,cruel deception part 2,220320,tt0357577,tvMovie,"Crime,Drama",A,,Documentary,documental,"documental!=crimen-misterio,drama","crimen,drama"
Select Plus PTE LTD (CTV),Mexico,wrath,218560,tt13942538,movie,Horror,B,,Documentary,documental,documental!=terror,terror
Select Plus PTE LTD (CTV),Mexico,desgracia,210080,tt0445953,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Mexico,unleashed,208960,tt4587780,movie,"Comedy,Fantasy,Romance",B,,Documentary,documental,"documental!=comedia,fantasia,romance","comedia,fantasia,romance"
Select Plus PTE LTD (CTV),Mexico,t.a.z.,207840,tt2259120,short,"Short,Sport",A,,Action,accion,accion-aventura!=deportes,deportes
Select Plus PTE LTD (CTV),Colombia,don't mess up our race,205120,tt14909626,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
TCL ADS - Springserve,Argentina,dime tu nombre: trailer,203280,tt31536241,tvSeries,Horror,B,,Romance,romance,romance!=terror,terror
Select Plus PTE LTD (CTV),Mexico,teahupoo uncut,198240,tt21654856,movie,"Documentary,Sport",A,,Action,accion,"accion-aventura!=deportes,documental","documental,deportes"
Select Plus PTE LTD (CTV),Mexico,all i ever wanted,193760,tt31556933,movie,Documentary,B,,crime,crimen,crimen-misterio!=documental,documental
iion Pty Ltd,Argentina,deal or no deal,193440,tt0493378,tvSeries,"Family,Game-Show",B,,Drama,drama,"drama!=concursos,infantil-familia","infantil-familia,concursos"
TCL ADS - Springserve,Argentina,summertime christmas,179040,tt1626240,movie,"Comedy,Family",A,,Drama,drama,"drama!=comedia,infantil-familia","comedia,infantil-familia"
Televisa Univision via SpringServe,Mexico,mi corazon es tuyo,170640,tt3825904,tvSeries,"Comedy,Romance",A,telenovela,News,noticias,"noticias!=comedia,romance,telenovela","comedia,romance,telenovela"
TCL ADS - Springserve,Argentina,never give up,169200,tt19636694,movie,"Family,Sport",B,,Drama,drama,"drama!=deportes,infantil-familia","infantil-familia,deportes"
TCL ADS - Springserve,Argentina,dutch season 2,168960,tt0101786,movie,"Comedy,Drama",B,,Action,accion,"accion-aventura!=comedia,drama","comedia,drama"
TCL ADS - Springserve,Argentina,merry birthday. happy christmas,167760,tt28480262,movie,Family,A,,Romance,romance,romance!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,clara's ultimate christmas,166080,tt6646106,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,la familia p luche,158640,tt1244672,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
TCL ADS - Springserve,Argentina,in the sea of grace,157920,tt33256421,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,40 y 20,153840,tt5711512,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,frank & penelope,152800,tt4459134,movie,"Horror,Thriller",A,,Romance,romance,"romance!=crimen-misterio,terror","terror,thriller"
iion Pty Ltd,Mexico,made in hollywood,143360,tt0911896,tvSeries,"Documentary,Talk-Show",B,,"entertainment,comedy",entretenimiento;comedia,"comedia!=documental,talk show","entretenimiento,documental,talk show"
Vidaa,Mexico,el fuego inolvidable,141520,tt2206058,movie,Drama,A,,Sports,deportes,deportes!=drama,drama
Televisa Univision via SpringServe,Mexico,para volver a amar,139920,tt1699171,tvSeries,Drama,A,telenovela,News,noticias,"noticias!=drama,telenovela","drama,telenovela"
TCL ADS - Springserve,Argentina,just us,131040,tt0305713,tvSeries,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,jajaja,129920,tt1452626,movie,"Comedy,Drama,Romance",A,,News,noticias,"noticias!=comedia,drama,romance","comedia,drama,romance"
Televisa Univision via SpringServe,Mexico,como dice el dicho,127920,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,News,noticias,"noticias!=comedia,drama,telenovela","comedia,drama,telenovela"
Vidaa,Mexico,dos aguas,126080,tt3603694,movie,Drama,A,,Sports,deportes,deportes!=drama,drama
TCL ADS - Springserve,Argentina,shoelaces for christmas,123360,tt9134798,tvMovie,"Drama,Family,Romance",A,,Adventure,aventura,"accion-aventura!=drama,infantil-familia,romance","drama,infantil-familia,romance"
TCL ADS - Springserve,Argentina,my best friend's christmas,118800,tt11230402,tvMovie,"Comedy,Drama,Romance",A,,Adventure,aventura,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,judas,117600,tt9537450,tvSeries,"Biography,Crime,Drama",B,,Sci-Fi,sci-fi,"sci-fi!=crimen-misterio,documental,drama","documental,crimen,drama"
TCL ADS - Springserve,Argentina,entanglement,116880,tt3534294,movie,"Comedy,Drama,Romance",B,,Action,accion,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,a royal christmas ball,116400,tt7605144,tvMovie,"Drama,Romance",A,,Adventure,aventura,"accion-aventura!=drama,romance","drama,romance"
Equativ (Formerly SMART AdServer) - oRTB CTV,Colombia,el hijo pródigo,115840,tt0085211,movie,"Action,Comedy",B,,drama,drama,"drama!=accion-aventura,comedia","accion,comedia"
Kivi via Springserve,Mexico,show champion,114640,tt36593654,tvSeries,Music,A,,Talk Show,talk show,talk show!=musica,musica
TCL ADS - Springserve,Argentina,a husband for christmas,113280,tt6111830,tvMovie,"Comedy,Drama,Romance",B,,Adventure,aventura,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,grapes on a vine,112560,tt1094297,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Argentina,strip off,112320,tt19401064,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
TCL ADS - Springserve,Argentina,all about christmas eve,110640,tt2444354,tvMovie,"Comedy,Romance",A,,Adventure,aventura,"accion-aventura!=comedia,romance","comedia,romance"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,sortilegio,109280,tt1439031,tvSeries,"Drama,Romance",B,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
OTTera.tv,Argentina,the christmas gift,106800,tt5239710,tvMovie,"Drama,Family,Romance",B,,Adventure,aventura,"accion-aventura!=drama,infantil-familia,romance","drama,infantil-familia,romance"
TCL ADS - Springserve,Argentina,i killed molly monroe,105600,tt15765452,tvMiniSeries,Drama,A,,Documentary,documental,documental!=drama,drama
TCL ADS - Springserve,Argentina,i killed solomon reid,104400,tt19393172,tvMiniSeries,Drama,A,,Documentary,documental,documental!=drama,drama
Televisa Univision via SpringServe,Mexico,nosotros los guapos,93360,tt7112114,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
Televisa Univision via SpringServe,Mexico,amores verdaderos,90960,tt2320524,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
FUNKE Digital GmbH | Publica,Mexico,amazonas legendarias,89760,tt2106514,movie,Action,A,,Horror,terror,terror!=accion-aventura,accion
Canela Media via Springserve,Mexico,mi vecina la buchona,88960,tt43661046,movie,Action,A,,Drama,drama,drama!=accion-aventura,accion
EXTE - Rich Audience (oRTB),Mexico,damage,88480,tt0104237,movie,"Drama,Romance",B,,Action,accion,"accion-aventura!=drama,romance","drama,romance"
Televisa Univision via SpringServe,Mexico,teresa,85920,tt1705090,tvSeries,"Drama,Romance",B,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Select Plus PTE LTD (CTV),Mexico,favorite son,85920,tt13891980,movie,Drama,B,,family,infantil-familia,infantil-familia!=drama,drama
OTTera.tv,Argentina,natacha. la pelicula,83680,tt7658600,movie,Family,A,,Adventure,aventura,accion-aventura!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,love lust and money,82800,tt13582202,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
LG Ads EMEA - SS,Mexico,north hollywood,81360,tt11165716,movie,"Comedy,Drama,Sport",B,,Adventure,aventura,"accion-aventura!=comedia,deportes,drama","comedia,drama,deportes"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amor de peluche,79520,tt1157600,movie,Family,A,,aventura,aventura,accion-aventura!=infantil-familia,infantil-familia
Vidaa,Mexico,no soy un asesino,79120,tt8271188,movie,"Crime,Thriller",A,,Western,western,western!=crimen-misterio,crimen
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,telehit,77120,tt0471063,tvSeries,Music,A,,News,noticias,noticias!=musica,musica
TCL ADS - Springserve,Argentina,life & me,76800,tt29594199,movie,"Comedy,Drama",A,,Documentary,documental,"documental!=comedia,drama","comedia,drama"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,código de honra,76320,tt4060866,movie,"Action,Crime,Thriller",B,drama,biography,documental,"documental!=accion-aventura,crimen-misterio,drama","accion,crimen,drama"
Televisa Univision via SpringServe,Mexico,pequenos gigantes,76080,tt1945875,tvSeries,"Family,Music,Reality-TV",B,,news,noticias,"noticias!=infantil-familia,musica,reality","infantil-familia,musica,reality"
Canela Media via Springserve,Mexico,simón dice,73760,tt8777518,tvSeries,Comedy,B,,Horror,terror,terror!=comedia,comedia
Select Plus PTE LTD (CTV),Mexico,vampirina: teenage vampire,73440,tt34385400,tvSeries,"Adventure,Comedy,Family",A,,music,musica,"musica!=accion-aventura,comedia,infantil-familia","aventura,comedia,infantil-familia"
Select Plus PTE LTD (CTV),Mexico,electric bloom,73280,tt32252675,tvSeries,"Comedy,Drama,Family",A,,music,musica,"musica!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
AWG Media,Mexico,un largo y doloroso camino,70000,tt0437447,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fuerza del destino,69840,tt0118055,movie,"Drama,Romance",B,,news,noticias,"noticias!=drama,romance","drama,romance"
Televisa Univision via SpringServe,Mexico,una familia de diez,66000,tt0996011,tvSeries,"Comedy,Family,Romance",A,,News,noticias,"noticias!=comedia,infantil-familia,romance","comedia,infantil-familia,romance"
Select Plus PTE LTD (CTV),Argentina,al filo del mañana,64320,tt1631867,movie,"Action,Adventure,Sci-Fi",A,,drama,drama,"drama!=accion-aventura,sci-fi","accion,sci-fi"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,splat!,63360,tt0327940,movie,Action,B,,family,infantil-familia,infantil-familia!=accion-aventura,accion
TCL ADS - Springserve,Argentina,divorce: a journey through the kids' eyes trailer,61920,tt2547332,movie,Documentary,A,,"infotainment,education,family,kids",educacion;infantil-familia,infantil-familia!=documental,"educacion,documental"
Select Plus PTE LTD (CTV),Argentina,like dandelion dust,61600,tt0981042,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Connekt Media (oRTB CTV),Mexico,sade,60480,tt0023369,movie,Drama,B,,acción,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the motherload,60320,tt40935136,movie,"Comedy,Drama,History",B,,war,belico,"accion-aventura!=comedia,documental,drama","comedia,drama,documental"
Select Plus PTE LTD (CTV),Mexico,my dog tulip,60160,tt0843358,movie,"Animation,Drama",A,,comedy,comedia,"comedia!=animacion,drama","animacion,drama"
Select Plus PTE LTD (CTV),Argentina,off screen,59520,tt0414200,movie,"Crime,Drama,Thriller",B,,fantasy,fantasia,"fantasia!=crimen-misterio,drama","crimen,drama"
Select Plus PTE LTD (CTV),Argentina,every time i die,59040,tt20751668,movie,Documentary,B,,drama,drama,drama!=documental,documental
Select Plus PTE LTD (CTV),Argentina,strange nature,58880,tt3113836,movie,"Drama,Horror,Mystery",A,,fantasy,fantasia,"fantasia!=crimen-misterio,drama,terror","drama,terror,misterio"
TCL ADs (APAC),Argentina,goombay kids season 2,58800,tt12551800,tvSeries,Family,A,,adventure,aventura,accion-aventura!=infantil-familia,infantil-familia
Select Plus PTE LTD (CTV),Argentina,partida,58560,tt29929273,movie,Drama,B,,kids,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Mexico,the incredible mrs. ritchie,58400,tt0296682,tvMovie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the confidant,58240,tt1449394,movie,Thriller,B,,comedy,comedia,comedia!=crimen-misterio,thriller
FUNKE Digital GmbH | Publica,Mexico,el último vikingo,57840,tt0054423,movie,"Action,Adventure,War",B,,Horror,terror,terror!=accion-aventura,accion
Sony Pictures LATAM,Mexico,en un lugar del corazón,57680,tt0087921,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Mexico,snake woman,57440,tt2350778,video,Horror,B,,fantasy,fantasia,fantasia!=terror,terror
AWG Media,Mexico,dos mujeres un camino,57280,tt0222547,tvSeries,Drama,A,telenovela,music,musica,"musica!=drama,telenovela","drama,telenovela"
Aluna Limited,Argentina,take out girl,55680,tt10816000,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fea mas bella,55680,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,news,noticias,"noticias!=comedia,drama,romance,telenovela","comedia,drama,romance,telenovela"
Select Plus PTE LTD (CTV),Mexico,teddy show,55520,tt38682799,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Mexico,there's a stranger in my house,55360,tt1308046,movie,Musical,A,,comedy,comedia,comedia!=musica,musica
Connekt Media (oRTB CTV),Mexico,scarface renacido,55200,tt2028545,video,Action,A,,romance,romance,romance!=accion-aventura,accion
Select Plus PTE LTD (CTV),Mexico,the joan of arc case,54720,tt30507681,tvMovie,"Animation,Biography,Documentary",A,,war,belico,"accion-aventura!=animacion,documental","animacion,documental"
TCL ADS - Springserve,Argentina,the feared - irish gangsters,54240,tt12920668,movie,Documentary,A,,Crime,crimen,crimen-misterio!=documental,documental
Televisa Univision via SpringServe,Mexico,amor bravio,54000,tt2266983,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
FUNKE Digital GmbH | Publica,Peru,the unusual,50160,tt27697018,short,"Horror,Short",A,,Comedy,comedia,comedia!=terror,terror
